timestamp_perf [s]	task	start	stop
11	Right foot	11	24
36	Right wrist	36	49
311	Right wrist	311	322
418	Right wrist	418	430
516	Right wrist	516	529
621	Right wrist	621	630
644	Right fingers	644	655
816	Left fingers	816	828
861	Right wrist	861	872
885	Right fingers	885	898
908	Left fingers	908	919
929	Right foot	929	940
949	Lip Sync	949	958
970	Right wrist	970	980
994	Right fingers	994	1003
1013	Right wrist	1013	1028
1038	Left fingers	1038	1048
1056	Right wrist	1056	1066
1076	Right fingers	1076	1088
